near_earth,potentially_hazardous,absolute_magnitude_parameter,epoch,eccentricity,semi_major_axis,perihelion_distance,inclination,om,w,ma,ad,n,tp,per,per_y,moid_ld,sigma_i,sigma_w,class,rms
N,N,16.7,2459000.5,0.03009672276689478,3.130406103630043,3.036191138981294,11.8841259614395,60.16765006559358,67.64152680221962,316.540262056248,3.224621068278791,0.1779520729300308,2459244.7215885893,2023.016613813478,5.53871762851055,807.605584,8.6769e-05,0.014552,MBA,0.74469
N,N,16.2,2459000.5,0.1267392205064063,3.136673977499394,2.739134362608392,2.158912692029316,354.548619741616,99.75563403836664,204.3789236416163,3.534213592390397,0.1774189491022452,2459877.638981748,2029.095549385397,5.55536084705105,683.7522315,6.3274e-06,0.00016049,MBA,0.53178
N,N,17.6,2459000.5,0.3156642648005196,2.545582187467493,1.742032857771268,4.343085323643727,26.56044963030118,24.32317066006749,82.09523134551146,3.349131517163717,0.2426740783219029,2458662.2058075867,1483.471174545747,4.06152272291786,293.31626149,6.8402e-06,0.00026045,MBA,0.62699
N,N,15.9,2459000.5,0.2518186201118975,2.700462430184582,2.020435707351479,14.75955028740301,0.894378623079994,55.60410820911694,36.10169833868451,3.380489153017684,0.2220991336596442,2458837.952322556,1620.897812918451,4.43777635295948,415.7036106,4.8323e-06,2.3424e-05,MBA,0.4718
N,N,16.6,2459000.5,0.1167540322139222,3.211394870947389,2.836451570733173,9.97544325124872,321.0878776326989,77.10275076136352,67.56006955186047,3.586338171161605,0.1712629852255209,2458606.0185569557,2102.030392182807,5.7550455638133,725.7436745,1.298e-05,8.1522e-05,OMB,0.74246
N,N,17.3,2459000.5,0.2017829760035385,2.401214780327609,1.916690515929421,5.078311641665104,30.50069959211069,327.9309358374892,167.5805978432289,2.885739044725797,0.2648851197824404,2458367.846123554,1359.079741042761,3.72095753878922,356.31587943,4.8264e-06,7.279e-05,MBA,0.55447
N,N,18.7,2459000.5,0.03988944361140902,1.891608113003035,1.816152917844516,19.36862730346262,298.5069959627762,274.1562270674143,265.0943850899284,1.967063308161553,0.3788413031819856,2459251.015490557,950.2659741064856,2.60168644519229,333.05908023,1.1513e-05,0.00021193,IMB,0.62668
N,N,17.305,2456720.5,0.0249268661453116,3.202603390315408,3.122772524288495,16.25075607999774,174.3986729997931,277.8454804790195,70.51618132010137,3.282434256342322,0.1719686711270587,2456310.4475127766,2093.404558171033,5.73142931737449,847.9080292,1.8765,93.75,OMB,0.3513
N,N,15.7,2459000.5,0.1292254735894386,2.687232618691519,2.33997371089612,3.948598302348733,302.1052712850676,17.34891080140093,355.2037140894126,3.034491526486918,0.2237413118576161,2459021.936747066,1609.001024491605,4.4052047214007,516.506424,5.4799e-06,8.1505e-05,MBA,0.55287
N,N,18.7,2459000.5,0.1882139942786087,2.386957774580077,1.937698917651982,1.955575075337662,250.60555324,69.59275458848295,93.63958513513845,2.836216631508172,0.2672618494068555,2458650.13355098,1346.993597473646,3.68786748110512,360.31654703,2.8987e-05,0.0053497,MBA,0.60601
